央视,#genre#
卫视,#genre#
湖南卫视,http://hlsbkmgsplive.miguvideo.com/migu/kailu/hunanhd265/57/20191230/index.m3u8?&encrypt=#http://hlsbkmgsplive.miguvideo.com/wd_r2/cctv/jinyingjishi/600/index.m3u8?&encrypt=#http://hlsbkmgsplive.miguvideo.com/wd-hunanhd-600/index.m3u8?&encrypt=#http://hlsbkmgsplive.miguvideo.com/wd-hunanhd-1200/index.m3u8?&encrypt=
江苏卫视,http://hlsbkmgsplive.miguvideo.com/wd_r2/cctv/jiangsuhd/2500/index.m3u8?&encrypt=#http://hlsbkmgsplive.miguvideo.com/wd_r2/cctv/jiangsuhd/600/index.m3u8?&encrypt=#http://hlsbkmgsplive.miguvideo.com/wd_r2/cctv/jiangsuhd/1200/index.m3u8?&encrypt=
东方卫视,http://hlsbkmgsplive.miguvideo.com/wd_r4/dfl/dongfangwshd/1200/index.m3u8?&encrypt=#http://hlsbkmgsplive.miguvideo.com/wd_r4/dfl/dongfangwshd/600/index.m3u8?&encrypt=#http://hlsbkmgsplive.miguvideo.com/wd_r4/dfl/dongfangwshd/3000/index.m3u8?&encrypt=
浙江卫视,http://hw-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8#http://hw-m-l.cztv.com/channels/lantian/channel001/720p.m3u8
北京卫视,https://hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s1/index.m3u8?time=1701430428&sign=5b456c4cf637ab14ab7c2c1e9576aa24#https://hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s1/index.m3u8?time=1701437644&sign=a400cc12022dcbb55166abe9a887ec7a#https://hlsliveali-cdn.ysp.cctv.cn/F663BDD1B44CFAB6015381B19B1DBC7BD06191CA936425E0681920CBDC8B97A17DB60FDE1138B1CB21FF603438BEAA08CC59169576F1D6FFD1C553AF3678B2313DD2A83FAED175E4E66D77EF98BE5ED6C1E25C55FA04543F641DCA3CFD4F2CA65FB3582E420B5A631DA05D7AA1FF2FEA/2000272102.m3u8?from=player&svrtime=1701439123&pid=600002309&cdn=5506&revoi=CA5A31AD8ADD87BAB5AEBDAEFD5C047E2B3F58143C67724077D33C8D55576D5C4EA770E31E5B581B68D75BF42080F7293CFDF22F6B4210F429EED09EACDD715DE7B14D0A8DF48EF4AE852A8104FFD0818B93D0F4CB3DE5A564B4F1E02A673C2253D856499D70C5847B336981C9D358358FDF6A148CFF9EC7C3A0A5648171680448EAD96928E70C61489207FE58644EBD69236939081C13EA079D8C600113BB5EAB0EDB630AEB0525B77DAF242A232DA57F6D89C468E8EF53BF2F26807FEB3900#EXTINF:-1#http://gmxw.7766.org:808/hls/41/index.m3u8
天津卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225765/index.m3u8#http://120.196.232.41:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226686/1.m3u8
深圳卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225752/index.m3u8#https://sztv-live.cutv.com/AxeFRth/500/857hxsF.m3u8?sign=935a70a3ebe72066927a0fc1377ec08a&t=656a0cc5#https://sztv-live.cutv.com/AxeFRth/500/857hxsF.m3u8?sign=c1d6d373831747f9f0affae3f440e48c&t=d1f70fdf
黑龙江卫视,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225802/index.m3u8?#http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225802/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225802/index.m3u8
安徽卫视,https://hlsliveali-cdn.ysp.cctv.cn/15400FAF0D457364ABABAB2FE6AA85580F9C49417DE37BEFA6991F8EF191A0C7D40B6E9E94D012D3C97E5ED444EF4978266F7CA79508AF30DBB94CD335BDA1BEEDC6D754D2F2ED0C053CA5F9E06D5272F6AE269F08267DD201A03C79FAAF198FF3123E26F5178BDCB2AC5E2DB3D7BC62/2000298002.m3u8?from=player&svrtime=1701442161&pid=600002532&cdn=5506&revoi=E31A40C9F0D87F38CF75C7AC1DF98144ACFD11B8D11BD62A9C40BBD2FBAF7890E4C1AC0742CCC1D1F29EDAA581F6DC27E9486FC4CC2853A387A8CC4002027F5A8AF293FC65594BAE3A944BDEA9C4921C83260D771BA58B3E8BD00738B08F0ED560DB709D5ABC3CA72BAC7866D6E44CE405ADF02313C025A22BAA9AC387EFCE082F08FB54EC10CED286E49ACC88C0F6E5B7E783513F4440D6CA76B0069E6AA0447B88EA669B418DD606D5525ACFB5E34259A3557AE3139D01374323BB8D1CCAFF#https://hlsliveali-cdn.ysp.cctv.cn/66CDD487A488A1A424998706424E0348589CEF6832FCAA67BB67EF963F63840CA8E376AA0F9B83F093F5EB0DA5024FC2446DD6AFCB96B14BA0E2C87FBA2C6FB42D0B3A89FB1FD4E98F944D611CAF83C594C7D61EB246545E2B0467F810FD62F066F3622338EE28FF85778C6EE271B91A/2000298002.m3u8?from=player&svrtime=1701442246&pid=600002532&cdn=5506&revoi=EDE854D238CA12CFBB23E4091A7871955F27A497155F80E8147EBEB14CED1FACE37772B5A8136DB8070CA57471F4AA56BECE29DE5791A4848C083CEE2617C719DCA907ACFF979B234A54D2DED49234E09C0B96078648FF1171BC999452A3280EEDBB5E14C9B09F462CD553F2A74024B7EE5DEDF14A8911164124610104436A0027F97F6E4253E519B56D6CF54AC164642759E57400C9E252AF62CD109DA3478D443392889CE04DFA7C04CCC2049C579FA7132BDEEEC2ABFA619A1F13E3806FAA
